nama_file,split,cluster
201925201907021.JPG,val,4
201930201912181.JPG,val,4
201934201907301.JPG,val,1
201936201908121.JPG,val,3
201936201908141.JPG,val,3
201939201908191.JPG,val,7
202017202007221.JPG,val,4
202019202008101.JPG,val,6
202028202009233.JPG,val,3
202029202009251.JPG,val,7
202029202102031.JPG,val,5
202038202012171.JPG,val,3
202042202012211.JPG,val,3
202042202105201.JPG,val,5
2021105202110141.JPG,val,7
202128202104081.JPG,val,9
202128202108091.JPG,val,9
202128202208191.JPG,val,1
202128202211151.JPG,val,6
202130202104121.JPG,val,5
202134202104231.JPG,val,9
202134202112013.JPG,val,1
202134202306051.JPG,val,9
202135202104211.JPG,val,9
202135202112305.JPG,val,7
202146202106031.JPG,val,3
202146202107131.JPG,val,3
202146202108041.JPG,val,4
202146202112141.JPG,val,1
202148202107051.JPG,val,5
202155202103081.JPG,val,3
202158202208101.JPG,val,7
202163202208231.JPG,val,9
202180202108171.JPG,val,5
202182202108185.JPG,val,6
202182202302153.JPG,val,4
202188202108261.JPG,val,1
202192202206301.JPG,val,5
202223202204121.JPG,val,5
202256202207261.JPG,val,8
202261202208041.JPG,val,3
202270202208181.JPG,val,8
202280202208315.JPG,val,6
202284202210061.JPG,val,8
202284202307111.JPG,val,8
202290202210281.JPG,val,4
202290202303081.JPG,val,9
202294202211141.JPG,val,3
202294202308041.JPG,val,6
202328202302161.JPG,val,5
202353202307181.JPG,val,1
202354202307131.JPG,val,4
202402202402061.JPG,val,5
202402202403101.JPG,val,5
201804201807101.JPG,test,7
201804201807261.JPG,test,1
201810201807191.JPG,test,8
201814201807201.JPG,test,6
201814201905131.JPG,test,3
201817201906171.JPG,test,1
201821201807271.JPG,test,2
201821201808131.JPG,test,4
201821202202071.JPG,test,8
201830201808031.JPG,test,7
201839201808101.JPG,test,8
201849201808201.JPG,test,8
201852201808211.JPG,test,6
201852202008261.JPG,test,6
201853201808311.JPG,test,7
201855201808221.JPG,test,6
201855201908291.JPG,test,1
201864201808281.JPG,test,1
201866201808291.JPG,test,7
201870201808311.JPG,test,3
201876202308301.JPG,test,6
201877201811061.JPG,test,6
201878201811091.JPG,test,3
201885201812261.JPG,test,6
201894201901251.JPG,test,9
201894201904291.JPG,test,4
201894201907221.JPG,test,9
201895201912121.JPG,test,3
201906201904041.JPG,test,8
201912201905171.JPG,test,1
201920201906181.JPG,test,7
201923201907021.JPG,test,6
201927201907091.JPG,test,8
201927202001131.JPG,test,8
201927202201201.JPG,test,9
201944201910091.JPG,test,8
201946201911201.JPG,test,7
202007202005131.JPG,test,9
202007202108161.JPG,test,1
202013202007241.JPG,test,9
202016202007271.JPG,test,4
202023202008271.JPG,test,5
202023202105211.JPG,test,8
202026202009041.JPG,test,5
202026202105251.JPG,test,6
202032202107281.JPG,test,6
202036202011191.JPG,test,3
202104202109271.JPG,test,6
202104202208121.JPG,test,4
202104202210281.JPG,test,6
202104202310201.JPG,test,6
2021104202208081.JPG,test,4
2021108202110141.JPG,test,8
202118202102231.JPG,test,3
202120202103051.JPG,test,5
202120202107201.JPG,test,5
202121202103161.JPG,test,6
202121202111211.JPG,test,6
202121202207121.JPG,test,2
202121202301041.JPG,test,1
202140202105191.JPG,test,5
202150202107051.JPG,test,5
202150202107301.JPG,test,8
202153202107141.JPG,test,3
202160202107151.JPG,test,4
202177202108161.JPG,test,7
202191202108271.JPG,test,5
202191202110291.JPG,test,5
202191202205041.JPG,test,4
202197202109131.JPG,test,5
202201202201041.JPG,test,1
202201202404211.JPG,test,8
202203202205111.JPG,test,8
202215202202141.JPG,test,7
202217202202161.JPG,test,3
202221202203041.JPG,test,5
202221202308091.JPG,test,4
202224202204231.JPG,test,5
202228202205131.JPG,test,3
202246202211141.JPG,test,4
202246202306281.JPG,test,9
202246202308301.JPG,test,6
202249202207181.JPG,test,1
202251202207181.JPG,test,3
202263202208081.JPG,test,1
202266202208181.JPG,test,5
202269202208241.JPG,test,5
202269202306191.JPG,test,1
202274202208231.JPG,test,5
202282202209271.JPG,test,3
202297202212141.JPG,test,1
202298202212151.JPG,test,3
202303202301131.JPG,test,4
202309202301281.JPG,test,5
202320202302151.JPG,test,3
202325202302201.JPG,test,3
202333202303081.JPG,test,8
202333202306191.JPG,test,8
202333202308101.JPG,test,8
202339202304081.JPG,test,6
202351202306191.JPG,test,6
202355202307061.JPG,test,3
202361202310311.JPG,test,5
202366202310141.JPG,test,5
202404202403101.JPG,test,6
202406202404101.JPG,test,3
